x_pixels,x_angle_deg,x_mm,profile,profile_norm,smoothed,smoothed_norm,gradient
223,-2.318790307333578,-18.22168578422454,40345.902,0.9664439,40059.692134942576,0.9595879872849605,4.812861709942808
224,-2.316631628152519,-18.204703784425636,40178.414,0.96243185,40064.501814452895,0.959703198122459,4.80649731070298
225,-2.3144729423910038,-18.18772178462673,40181.13,0.9624969,40069.30512956398,0.9598182565074365,4.80013291146679
226,-2.312314250055131,-18.170739784827827,40347.15,0.9664737,40074.10208027583,0.959933162439893,4.793768512223323
227,-2.3101555511509986,-18.153757785028922,40044.348,0.95922047,40078.89266658843,0.9600479159198283,4.787404112983495
228,-2.3079968456847055,-18.136775785230018,40337.24,0.96623635,40083.676888501795,0.9601625169472428,4.781039713747305
229,-2.3058381336623515,-18.119793785431114,40137.9,0.96146137,40088.45474601592,0.9602769655221363,4.774675314507476
230,-2.303679415090034,-18.10281178563221,40265.695,0.9645226,40093.22623913081,0.9603912616445087,4.768310915267648
231,-2.3015206899738527,-18.085829785833305,39904.562,0.95587206,40097.99136784646,0.9605054053143602,4.76194651602782
232,-2.2993619583199068,-18.0688477860344,40302.562,0.9654057,40102.750132162866,0.9606193965316907,4.755582116787991
233,-2.297203220134295,-18.051865786235496,40365.67,0.96691746,40107.502532080034,0.9607332352965001,4.749217717548163
234,-2.295044475423117,-18.03488378643659,40303.113,0.96541893,40112.24856759796,0.9608469216087886,4.742853318308335
235,-2.2928857241924723,-18.017901786637687,39903.363,0.9558433,40116.98823871665,0.960960455468556,4.736488919068506
236,-2.29072696644846,-18.000919786838782,39962.67,0.957264,40121.7215454361,0.9610738368758024,4.730124519828678
237,-2.288568202197181,-17.983937787039878,39965.723,0.9573371,40126.44848775631,0.9611870658305278,4.7237601205888495
238,-2.2864094314447327,-17.966955787240973,39904.574,0.9558723,40131.16906567728,0.9613001423327322,4.717395721349021
239,-2.284250654197217,-17.94997378744207,39788.758,0.95309806,40135.883279199006,0.9614130663824156,4.711031322109193
240,-2.2820918704607336,-17.932991787643164,39838.723,0.9542949,40140.591128321495,0.9615258379795779,4.7046669228693645
241,-2.2799330802413813,-17.91600978784426,40000.688,0.95817465,40145.292613044745,0.9616384571242194,4.698302523633174
242,-2.277774283545262,-17.899027788045355,40057.21,0.95952857,40149.98773336876,0.9617509238163399,4.691938124393346
243,-2.2756154803784745,-17.88204578824645,40252.887,0.9642158,40154.67648929353,0.9618632380559392,4.6855737251498795
